uf,escolas,escolas_internet,escolas_banda_larga,escolas_internet_alunos,escolas_internet_aprendizagem,escolas_lab_informatica,equipamentos_alunos,matriculas,perc_escolas_internet,perc_escolas_banda_larga,perc_escolas_internet_alunos,perc_escolas_internet_aprendizagem,perc_escolas_lab_informatica,equipamentos_por_100_matriculas
AC,1523,738.0,525.0,264.0,422.0,160.0,9509.0,248340.0,48.456992777413,34.47143795141169,17.334208798424164,27.708470124753774,10.505581089954038,3.8290247241684785
AL,2937,2777.0,2538.0,1061.0,1919.0,635.0,109278.0,863732.0,94.55226421518556,86.414708886619,36.12529792305073,65.33878106911814,21.620701395982294,12.651841080335103
AM,5542,3218.0,2389.0,1090.0,1908.0,985.0,572656.0,1153833.0,58.065680259834,43.107181522915916,19.66798989534464,34.42800433056658,17.773367015517863,49.63075245724468
AP,877,593.0,419.0,158.0,262.0,121.0,4879.0,213712.0,67.61687571265678,47.776510832383124,18.015963511972632,29.874572405929303,13.79703534777651,2.282978962341843
BA,16094,14816.0,12189.0,5834.0,9899.0,2344.0,1423112.0,3416549.0,92.05915247918479,75.73629924195352,36.24953398782155,61.5073940598981,14.564433950540574,41.653493042248186
CE,7719,7593.0,6408.0,3370.0,5431.0,2456.0,915847.0,2132934.0,98.36766420520793,83.0159347065682,43.65850498769271,70.35885477393445,31.81759295245498,42.93836565032017
DF,1325,1319.0,1294.0,554.0,849.0,589.0,741655.0,629593.0,99.54716981132076,97.66037735849056,41.81132075471698,64.0754716981132,44.45283018867924,117.79911784279686
ES,3064,2963.0,2658.0,1559.0,2486.0,1048.0,724437.0,869379.0,96.70365535248042,86.74934725848564,50.88120104438642,81.13577023498695,34.20365535248042,83.32809971255344
GO,4746,4730.0,4387.0,2355.0,3811.0,1817.0,1979856.0,1550149.0,99.66287399915718,92.43573535608934,49.62073324905183,80.29919932574799,38.284871470712176,127.72036752596041
MA,11357,8924.0,7193.0,2844.0,4545.0,1119.0,740913.0,1850984.0,78.57708901998767,63.33538786651405,25.041824425464473,40.0193713128467,9.852954125209122,40.02806075039006
MG,15843,15260.0,14220.0,7319.0,10754.0,6850.0,3927230.0,4294157.0,96.3201413873635,89.75572808180269,46.19705863788424,67.87855835384713,43.23676071451114,91.45520296533172
MS,1841,1835.0,1681.0,966.0,1461.0,824.0,477084.0,679596.0,99.67409016838674,91.3090711569799,52.47148288973384,79.35904399782727,44.7582835415535,70.20111948863736
MT,2722,2670.0,2145.0,1467.0,2240.0,806.0,1719927.0,898482.0,98.08963997060985,78.80235121234386,53.89419544452608,82.29243203526819,29.610580455547392,191.42587163682745
PA,10591,7049.0,5654.0,1922.0,3361.0,1741.0,560777.0,2206871.0,66.55651024454725,53.38494948541214,18.14748371258616,31.73449154942876,16.438485506562177,25.410502018468684
PB,4653,4357.0,3457.0,1436.0,2383.0,1056.0,327580.0,949125.0,93.63851278744896,74.29615301955728,30.86180958521384,51.21427036320653,22.69503546099291,34.513894376399314
PE,8013,7509.0,6560.0,3101.0,5335.0,1826.0,798108.0,2121954.0,93.71022089105205,81.86696617995757,38.699613128665916,66.57930862348684,22.787969549482092,37.61193692228955
PI,4179,3908.0,3137.0,1376.0,2343.0,759.0,471695.0,829549.0,93.51519502273271,75.06580521655899,32.926537449150516,56.066044508255565,18.16223977027997,56.86161998869265
PR,9573,9496.0,7354.0,4956.0,8353.0,4103.0,2423024.0,2498963.0,99.19565444479265,76.82022354538807,51.77060482607333,87.25582367074063,42.86012744176329,96.96117949725546
RJ,11761,11552.0,11167.0,4803.0,7760.0,4242.0,2316301.0,3421235.0,98.22294022617125,94.94940906385511,40.838364084686674,65.98078394694329,36.06836153388317,67.70365087461107
RN,3462,3323.0,2682.0,1614.0,2253.0,938.0,578053.0,783190.0,95.98497978047371,77.46967071057192,46.62045060658579,65.07798960138648,27.09416522241479,73.80750520307971
RO,1243,1184.0,949.0,629.0,923.0,537.0,287820.0,383849.0,95.25341914722446,76.34754625905069,50.60337892196299,74.25583266291231,43.20193081255028,74.98261034938218
RR,911,565.0,417.0,253.0,328.0,106.0,279288.0,185657.0,62.019758507135016,45.77387486278815,27.771679473106477,36.004390779363334,11.63556531284303,150.43224871671956
RS,10000,9843.0,8282.0,5477.0,7845.0,3906.0,3367838.0,2227679.0,98.43,82.82,54.77,78.45,39.06,151.18147632580815
SC,6710,6681.0,6171.0,3415.0,5777.0,2461.0,8095355.0,1768874.0,99.56780923994039,91.9672131147541,50.89418777943368,86.09538002980626,36.67660208643815,457.6558307714399
SE,2045,2000.0,1843.0,1038.0,1376.0,462.0,835041.0,526786.0,97.79951100244499,90.12224938875306,50.75794621026895,67.28606356968216,22.591687041564793,158.51617165224587
SP,30746,30337.0,28059.0,15479.0,25662.0,11284.0,9393402.0,9998443.0,98.66974565797177,91.26065179210303,50.34476029402199,83.46451570936057,36.700709035321665,93.94864780446315
TO,1588,1531.0,1417.0,776.0,1234.0,336.0,22439.0,385307.0,96.41057934508817,89.23173803526448,48.86649874055416,77.70780856423174,21.15869017632242,5.8236678804174336
