uf,denuncias,vitimas,municipios_com_registro
AC,477,721.0,17
AL,1999,3246.0,92
AM,3145,4888.0,51
AP,195,286.0,14
BA,7060,10216.0,345
CE,3882,5527.0,146
DF,2473,3655.0,1
ES,3125,5036.0,65
GO,4075,6380.0,135
MA,1791,2858.0,131
MG,15145,22330.0,611
MS,2336,3474.0,69
MT,1387,1964.0,90
PA,2773,4134.0,119
PB,2167,3116.0,153
PE,5303,7734.0,159
PI,1458,2349.0,99
PR,5755,8288.0,294
RJ,17866,27654.0,91
RN,2404,3535.0,116
RO,1058,1465.0,38
RR,210,350.0,7
RS,7882,11176.0,304
SC,5971,8757.0,241
SE,1536,2336.0,64
SP,42454,63890.0,562
TO,573,733.0,73
