uf,denuncias,vitimas,municipios_com_registro
AC,691,990.0,22
AL,3614,5245.0,98
AM,6546,10183.0,59
AP,487,684.0,12
BA,14736,20633.0,386
CE,8561,12608.0,177
DF,5157,7362.0,1
ES,6699,10238.0,76
GO,8734,12403.0,198
MA,3488,5133.0,176
MG,32129,47556.0,764
MS,4279,6367.0,72
MT,2576,3533.0,120
PA,5654,8366.0,141
PB,4848,6705.0,182
PE,10859,15694.0,176
PI,2845,4191.0,149
PR,13287,18909.0,357
RJ,34718,51694.0,92
RN,4565,6522.0,144
RO,1590,2143.0,44
RR,508,806.0,13
RS,16440,23687.0,381
SC,12155,17339.0,273
SE,2729,3988.0,67
SP,85660,125580.0,618
TO,1037,1389.0,103
