uf,populacao,denuncias,vitimas,municipios_com_registro,escolas,escolas_internet,escolas_banda_larga,escolas_internet_alunos,escolas_internet_aprendizagem,escolas_lab_informatica,equipamentos_alunos,matriculas,perc_escolas_internet,perc_escolas_banda_larga,perc_escolas_internet_alunos,perc_escolas_internet_aprendizagem,perc_escolas_lab_informatica,equipamentos_por_100_matriculas,taxa_denuncias_100mil,deficit_internet_escolar,deficit_banda_larga_escolar,n_taxa_denuncias,n_deficit_internet,n_deficit_banda_larga,eixo_vulnerabilidade,eixo_protecao,periodo_denuncias,ano_populacao,ano_censo_escolar,nota_metodologica
AC,884372.0,691,990.0,22,1523,738.0,525.0,264.0,422.0,160.0,9509.0,248340.0,48.456992777413,34.47143795141169,17.334208798424164,27.708470124753774,10.505581089954038,3.8290247241684794,78.1345406684065,51.543007222587,65.52856204858831,13.661885179360606,100.0,100.0,56.830942589680305,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
AL,3220848.0,3614,5245.0,98,2937,2777.0,2538.0,1061.0,1919.0,635.0,109278.0,863732.0,94.55226421518556,86.414708886619,36.12529792305073,65.33878106911814,21.62070139598229,12.651841080335103,112.20647481657005,5.447735784814441,13.585291113381004,42.05410439007406,12.584898268492127,15.472040837988157,28.0412869716571,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
AM,4321616.0,6546,10183.0,59,5542,3218.0,2389.0,1090.0,1908.0,985.0,572656.0,1153833.0,58.065680259834,43.10718152291592,19.66798989534464,34.42800433056658,17.773367015517863,49.63075245724468,151.47111636017638,41.934319740166,56.89281847708408,74.77341833005609,100.0,100.0,87.38670916502804,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
AP,806517.0,487,684.0,12,877,593.0,419.0,158.0,262.0,121.0,4879.0,213712.0,67.61687571265678,47.77651083238312,18.015963511972632,29.874572405929303,13.79703534777651,2.282978962341843,60.3831041379165,32.38312428734322,52.22348916761688,0.0,79.28562579740218,92.30569465411095,42.89783011287828,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
BA,14870907.0,14736,20633.0,386,16094,14816.0,12189.0,5834.0,9899.0,2344.0,1423112.0,3416549.0,92.0591524791848,75.73629924195352,36.24953398782155,61.5073940598981,14.564433950540574,41.653493042248186,99.09281256348386,7.940847520815197,24.263700758046483,31.126460196885525,18.758648707863077,36.70649977402096,29.429517218913773,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
CE,9268836.0,8561,12608.0,177,7719,7593.0,6408.0,3370.0,5431.0,2456.0,915847.0,2132934.0,98.36766420520792,83.0159347065682,43.65850498769271,70.35885477393445,31.81759295245498,42.93836565032017,92.36326977842741,1.632335794792084,16.984065293431797,25.518717087547063,3.1367347447176335,22.230643772385886,19.101203173049413,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
DF,2996899.0,5157,7362.0,1,1325,1319.0,1294.0,554.0,849.0,589.0,741655.0,629593.0,99.54716981132076,97.66037735849056,41.81132075471698,64.0754716981132,44.45283018867924,117.79911784279686,172.07787115948852,0.4528301886792434,2.339622641509436,91.94507336259045,0.21589764430720762,0.0,46.026511092372026,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
ES,4126854.0,6699,10238.0,76,3064,2963.0,2658.0,1559.0,2486.0,1048.0,724437.0,869379.0,96.70365535248042,86.74934725848564,50.88120104438642,81.13577023498695,34.20365535248042,83.32809971255344,162.32704137340454,3.2963446475195752,13.250652741514358,83.8196850130778,7.257358476617786,14.806598604333733,47.42583177677678,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
GO,7423629.0,8734,12403.0,198,4746,4730.0,4387.0,2355.0,3811.0,1817.0,1979856.0,1550149.0,99.66287399915718,92.43573535608934,49.62073324905183,80.29919932574799,38.284871470712176,127.7203675259604,117.65135353612095,0.3371260008428152,7.564264643910661,46.59133404979887,0.0,3.4989808437403185,24.17041223583451,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
MA,7018211.0,3488,5133.0,176,11357,8924.0,7193.0,2844.0,4545.0,1119.0,740913.0,1850984.0,78.57708901998767,63.33538786651405,25.041824425464476,40.0193713128467,9.852954125209122,40.02806075039006,49.69927521415358,21.422910980012333,36.66461213348595,0.0,52.14459527532978,61.36622459575031,28.377704967770022,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
